Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted,player_clean_cleaned
2010,Cardinals,,alfonso smith,placed on ir,,,,9/5/2010,,alfonso smith,alfonso smith
2010,Cardinals,,chris johnson c,placed on ir,,,,9/5/2010,,chris johnson c,chris johnson c
2010,Cardinals,,mark washington b 1985-08-20,placed on ir,,,,9/5/2010,,mark washington b --,mark washington
2010,Chargers,,richie brockel,placed on ir,,,,9/5/2010,,richie brockel,richie brockel
2010,Colts,,glenn sharpe,placed on ir,,,,9/5/2010,,glenn sharpe,glenn sharpe
2010,Colts,,james williams g,placed on ir,,,,9/5/2010,,james williams g,james williams g
2010,Colts,,taj smith,placed on ir,,,,9/5/2010,,taj smith,taj smith
2010,Dolphins,,will allen d,placed on ir with left knee injury,,,,9/5/2010,,will allen d,will allen d
2010,Falcons,,brandyn harvey,placed on ir,,,,9/5/2010,,brandyn harvey,brandyn harvey
2010,Giants,,alex hall,placed on ir with shoulder injury,,,,9/5/2010,,alex hall,alex hall
2010,Giants,,courtney brown leonard,placed on ir with ankle injury,,,,9/5/2010,,courtney brown leonard,courtney brown leonard
2010,Lions,,korey bosworth,placed on ir,,,,9/5/2010,,korey bosworth,korey bosworth
2010,Packers,,allen barbre,placed on ir with back injury,,,,9/5/2010,,allen barbre,allen barbre
2010,Panthers,,jamie petrowski,placed on ir,,,,9/5/2010,,jamie petrowski,jamie petrowski
2010,Patriots,,george bussey,placed on ir,,,,9/5/2010,,george bussey,george bussey
2010,Raiders,,alex daniels,placed on ir with undisclosed injury,,,,9/5/2010,,alex daniels,alex daniels
2010,Raiders,,jay richardson,placed on ir with knee injury,,,,9/5/2010,,jay richardson,jay richardson
2010,Raiders,,joey thomas,placed on ir with concussion,,,,9/5/2010,,joey thomas,joey thomas
2010,Redskins,,clint oldenburg,placed on ir,,,,9/5/2010,,clint oldenburg,clint oldenburg
2010,Redskins,,robert henson,placed on ir,,,,9/5/2010,,robert henson,robert henson
2010,Steelers,,renauld williams,placed on ir,,,,9/5/2010,,renauld williams,renauld williams
2010,Texans,,derek fine,placed on ir,,,,9/5/2010,,derek fine,derek fine
2010,Texans,,jeremiah johnson,placed on ir,,,,9/5/2010,,jeremiah johnson,jeremiah johnson
2010,Colts,,tony ugoh,placed on ir with toe injury,,,,9/9/2010,,tony ugoh,tony ugoh
2010,Jets,,kevin oconnell,placed on ir,,,,9/9/2010,,kevin oconnell,kevin oconnell
2010,Bills,,kawika mitchell,placed on ir with foot injury,,,,9/10/2010,,kawika mitchell,kawika mitchell
2010,Jaguars,,jarett dillard,placed on ir with left foot/toe injury,,,,9/11/2010,,jarett dillard,jarett dillard
2010,Bears,,hunter hillenmeyer,placed on ir with concussion,,,,9/14/2010,,hunter hillenmeyer,hunter hillenmeyer
2010,Eagles,,jamaal jackson,placed on ir with torn triceps in right arm (out for season),,,,9/14/2010,,jamaal jackson,jamaal jackson
2010,Eagles,,leonard weaver,placed on ir with torn acl in left knee (out for season),,,,9/14/2010,,leonard weaver,leonard weaver
2010,Lions,,aaron berry,placed on ir with right shoulder injury,,,,9/14/2010,,aaron berry,aaron berry
2010,Packers,,justin harrell,placed on ir with torn acl in left knee,,,,9/14/2010,,justin harrell,justin harrell
2010,Packers,,ryan grant brett,placed on ir with ankle injury,,,,9/14/2010,,ryan grant brett,ryan grant brett
2010,Seahawks,,max unger,placed on ir with left toe injury,,,,9/14/2010,,max unger,max unger
2010,Texans,,connor barwin,placed on ir with right ankle injury,,,,9/14/2010,,connor barwin,connor barwin
2010,Chargers,,david binn,placed on ir with hamstring injury,,,,9/15/2010,,david binn,david binn
2010,Chiefs,,cameron sheffield,placed on ir with neck injury,,,,9/15/2010,,cameron sheffield,cameron sheffield
2010,Jets,,kris jenkins,placed on ir with torn acl in left knee,,,,9/15/2010,,kris jenkins,kris jenkins
2010,Panthers,,todd carter,placed on ir,,,,9/15/2010,,todd carter,todd carter
2010,Rams,,josh hull,placed on ir with torn acl in left knee,,,,9/15/2010,,josh hull,josh hull
2010,Chargers,,james dearth,placed on ir with foot injury,,,,9/17/2010,,james dearth,james dearth
2010,Panthers,,charly martin,placed on ir with concussion,,,,9/17/2010,,charly martin,charly martin
2010,Browns,,kaluka maiava,placed on ir with right leg injury,,,,9/21/2010,,kaluka maiava,kaluka maiava
2010,Falcons,,jerious norwood,placed on ir with knee injury,,,,9/21/2010,,jerious norwood,jerious norwood
2010,Jaguars,,luke mccown,placed on ir with torn acl in knee,,,,9/21/2010,,luke mccown,luke mccown
2010,Jaguars,,scotty mcgee,placed on ir with shoulder injury,,,,9/22/2010,,scotty mcgee,scotty mcgee
2010,Patriots,,kevin faulk,placed on ir with torn acl in right knee,,,,9/22/2010,,kevin faulk,kevin faulk
2010,Browns,,dqwell jackson,placed on ir with pectoral muscle injury,,,,9/25/2010,,dqwell jackson,dqwell jackson
2010,Colts,,ramon humber,placed on ir with hand injury,,,,9/27/2010,,ramon humber,ramon humber
2010,Cowboys,,deon anderson,placed on ir,,,,9/27/2010,,deon anderson,deon anderson
2010,Rams,,dominique curry,placed on ir with torn acl in right knee,,,,9/27/2010,,dominique curry,dominique curry
2010,Giants,,michael johnson derrick,placed on ir with back injury,,,,9/28/2010,,michael johnson derrick,michael johnson derrick
2010,Chargers,,james holt b,placed on ir with shoulder injury,,,,9/29/2010,,james holt b,james holt b
2010,Chargers,,ryan neill,placed on ir with knee injury,,,,9/29/2010,,ryan neill,ryan neill
2010,Seahawks,,leroy hill,placed on ir with achilles tendon / calf injury,,,,10/1/2010,,leroy hill,leroy hill
2010,Steelers,,dennis dixon,placed on ir with left knee injury,,,,10/2/2010,,dennis dixon,dennis dixon
2010,Chargers,,jyles tucker,placed on ir with pectoral injury,,,,10/5/2010,,jyles tucker,jyles tucker
2010,Colts,,devin moore,placed on ir with neck injury,,,,10/5/2010,,devin moore,devin moore
2010,Colts,,melvin bullitt,placed on ir with shoulder injury,,,,10/5/2010,,melvin bullitt,melvin bullitt
2010,Saints,,chris reis,placed on ir with shoulder injury,,,,10/5/2010,,chris reis,chris reis
2010,Rams,,marquis johnson,placed on ir with knee injury,,,,10/6/2010,,marquis johnson,marquis johnson
2010,Dolphins,,lionel dotson,placed on ir,,,,10/7/2010,,lionel dotson,lionel dotson
2010,Packers,,morgan burnett,placed on ir with knee injury,,,,10/7/2010,,morgan burnett,morgan burnett
2010,Redskins,,josh bidwell,placed on ir with right hip injury,,,,10/7/2010,,josh bidwell,josh bidwell
2010,Titans,,derrick morgan,placed on ir with torn acl in left knee,,,,10/7/2010,,derrick morgan,derrick morgan
2010,Rams,,mark clayton jermaine,placed on ir with torn patellar tendon in right knee,,,,10/11/2010,,mark clayton jermaine,mark clayton jermaine
2010,Patriots,,nick kaczur,placed on ir with back injury,,,,10/12/2010,,nick kaczur,nick kaczur
2010,Rams,,darcy johnson,placed on ir with concussion,,,,10/12/2010,,darcy johnson,darcy johnson
2010,Chargers,,shawne merriman,placed on ir with calf injury,,,,10/13/2010,,shawne merriman,shawne merriman
2010,Packers,,derrick martin jerome,placed on ir with knee injury,,,,10/13/2010,,derrick martin jerome,derrick martin jerome
2010,Titans,,colin allred,placed on ir with neck injury,,,,10/13/2010,,colin allred,colin allred
2010,Vikings,,cedric griffin,placed on ir with torn acl in right knee,,,,10/13/2010,,cedric griffin,cedric griffin
2010,Lions,,spencer havner,placed on ir with hamstring injury,,,,10/15/2010,,spencer havner,spencer havner
2010,Giants,,victor cruz,placed on ir with hamstring injury,,,,10/16/2010,,victor cruz,victor cruz
2010,Packers,,nick barnett,placed on ir with wrist injury,,,,10/17/2010,,nick barnett,nick barnett
2010,Packers,,jermichael finley,placed on ir with right knee injury,,,,10/18/2010,,jermichael finley,jermichael finley
2010,49ers,,curtis taylor,placed on ir with quadriceps injury,,,,10/19/2010,,curtis taylor,curtis taylor
2010,Broncos,,matthew willis  matt willis,placed on ir with foot injury,,,,10/19/2010,,matthew willis matt willis,matthew willis matt
2010,Buccaneers,,kareem huggins,placed on ir with torn acl in right knee,,,,10/19/2010,,kareem huggins,kareem huggins
2010,Colts,,brandon king marico,placed on ir with hamstring injury,,,,10/19/2010,,brandon king marico,brandon king marico
2010,Browns,,robaire smith,placed on ir with back injury,,,,10/20/2010,,robaire smith,robaire smith
2010,Browns,,tony pashos,placed on ir with ankle injury,,,,10/20/2010,,tony pashos,tony pashos
2010,Saints,,randall gay,placed on ir with concussion,,,,10/20/2010,,randall gay,randall gay
2010,Dolphins,,jared odrick,placed on ir with left foot injury,,,,10/22/2010,,jared odrick,jared odrick
2010,Chargers,,kion wilson,placed on ir with ankle injury,,,,10/23/2010,,kion wilson,kion wilson
2010,Ravens,,jared gaither,placed on ir with back injury,,,,10/23/2010,,jared gaither,jared gaither
2010,Colts,,dallas clark,placed on ir with wrist injury,,,,10/25/2010,,dallas clark,dallas clark
2010,Texans,,demeco ryans,placed on ir with torn left achilles tendon,,,,10/25/2010,,demeco ryans,demeco ryans
2010,Bengals,,adam jones  pacman jones,placed on ir with neck injury,,,,10/26/2010,,adam jones pacman jones,adam jones pacman
2010,Jaguars,,eben britton,placed on ir with shoulder injury,,,,10/26/2010,,eben britton,eben britton
2010,Packers,,brady poppinga,placed on ir with knee injury,,,,10/26/2010,,brady poppinga,brady poppinga
2010,Packers,,mike neal,placed on ir with shoulder injury,,,,10/26/2010,,mike neal,mike neal
2010,Packers,,brad jones edward,placed on ir with right shoulder injury,,,,10/27/2010,,brad jones edward,brad jones edward
2010,Panthers,,jamar williams,placed on ir with neck injury,,,,10/27/2010,,jamar williams,jamar williams
2010,Rams,,clifton ryan,placed on ir with migraine headaches,,,,10/27/2010,,clifton ryan,clifton ryan
2010,Falcons,,robert agnone  robbie agnone,placed on ir with foot injury (out for season),,,,10/28/2010,,robert agnone robbie agnone,robert agnone robbie
2010,Giants,,mathias kiwanuka,placed on ir with neck injury,,,,10/28/2010,,mathias kiwanuka,mathias kiwanuka
2010,Dolphins,,deon anderson,placed on ir with triceps injury,,,,10/30/2010,,deon anderson,deon anderson
2010,Lions,,zack follett,placed on ir with neck injury,,,,10/31/2010,,zack follett,zack follett
2010,49ers,,eric heitmann,placed on ir with neck injury,,,,11/1/2010,,eric heitmann,eric heitmann
2010,Giants,,bruce johnson b 1987-02-18,placed on ir with knee injury,,,,11/1/2010,,bruce johnson b --,bruce johnson
2010,Buccaneers,,brian price larisso,placed on ir with pelvis injury,,,,11/2/2010,,brian price larisso,brian price larisso
2010,Chargers,,craig davis  buster davis,placed on ir with groin injury,,,,11/2/2010,,craig davis buster davis,craig davis buster
2010,Seahawks,,ben hamilton,placed on ir with concussion,,,,11/2/2010,,ben hamilton,ben hamilton
2010,Seahawks,,joseph bryant  red bryant,placed on ir with knee injury,,,,11/2/2010,,joseph bryant red bryant,joseph bryant red
2010,Bills,,cornell green duane,placed on ir with knee injury,,,,11/3/2010,,cornell green duane,cornell green duane
2010,Patriots,,darnell jenkins,placed on ir (e),,,,11/3/2010,,darnell jenkins,darnell jenkins
2010,Titans,,jamie winborn,placed on ir with shoulder injury,,,,11/3/2010,,jamie winborn,jamie winborn
2010,Colts,,anthony gonzalez,placed on ir with knee injury,,,,11/6/2010,,anthony gonzalez,anthony gonzalez
2010,Bills,,andra davis,placed on ir with shoulder injury,,,,11/8/2010,,andra davis,andra davis
2010,Bills,,roscoe parrish,placed on ir with fractured left wrist,,,,11/8/2010,,roscoe parrish,roscoe parrish
2010,Panthers,,thomas davis,placed on ir with torn acl in right knee,,,,11/8/2010,,thomas davis,thomas davis
2010,Redskins,,chris horton,placed on ir with right ankle injury,,,,11/8/2010,,chris horton,chris horton
2010,Cardinals,,kenny iwebema,placed on ir with knee injury,,,,11/9/2010,,kenny iwebema,kenny iwebema
2010,Giants,,adam koets,placed on ir with torn acl in left knee,,,,11/9/2010,,adam koets,adam koets
2010,Panthers,,dan connor murphy,placed on ir with hip injury,,,,11/9/2010,,dan connor murphy,dan connor murphy
2010,Panthers,,jeff otah,placed on ir with knee injury,,,,11/9/2010,,jeff otah,jeff otah
2010,Panthers,,matt moore,placed on ir with right shoulder injury,,,,11/9/2010,,matt moore,matt moore
2010,Cowboys,,akwasi owusu-ansah,placed on ir with ankle injury,,,,11/10/2010,,akwasi owusu-ansah,akwasi owusu-ansah
2010,Cowboys,,marcus spears rayshon,placed on ir with calf injury,,,,11/10/2010,,marcus spears rayshon,marcus spears rayshon
2010,Patriots,,stephen gostkowski,placed on ir with thigh injury,,,,11/10/2010,,stephen gostkowski,stephen gostkowski
2010,Steelers,,max starks,placed on ir with neck injury,,,,11/10/2010,,max starks,max starks
2010,Texans,,dominique barber,placed on ir with knee injury,,,,11/11/2010,,dominique barber,dominique barber
2010,Packers,,mark tauscher,placed on ir with shoulder injury,,,,11/12/2010,,mark tauscher,mark tauscher
2010,Bengals,,andre smith dewayne,placed on ir with foot injury,,,,11/13/2010,,andre smith dewayne,andre smith dewayne
2010,Jaguars,,aaron kampman,placed on ir with knee injury (surgery),,,,11/13/2010,,aaron kampman,aaron kampman
2010,Texans,,karl paymah,placed on ir with wrist injury,,,,11/13/2010,,karl paymah,karl paymah
2010,Bengals,,mike nugent,placed on ir with torn acl in right knee,,,,11/15/2010,,mike nugent,mike nugent
2010,Bengals,,morgan trent,placed on ir with knee injury,,,,11/15/2010,,morgan trent,morgan trent
2010,Browns,,billy yates,placed on ir with biceps injury,,,,11/16/2010,,billy yates,billy yates
2010,Dolphins,,chad pennington,placed on ir with right shoulder injury,,,,11/16/2010,,chad pennington,chad pennington
2010,Giants,,ramses barden,"placed on ir with left leg, foot injury",,,,11/16/2010,,ramses barden,ramses barden
2010,Rams,,fendi onobun,placed on ir with back injury,,,,11/16/2010,,fendi onobun,fendi onobun
2010,Cardinals,,brandon keith,placed on ir with knee injury,,,,11/17/2010,,brandon keith,brandon keith
2010,Chiefs,,mark simoneau,placed on ir,,,,11/17/2010,,mark simoneau,mark simoneau
2010,Lions,,jack williams b,placed on ir with knee injury,,,,11/17/2010,,jack williams b,jack williams b
2010,Panthers,,deangelo williams,placed on ir with foot injury,,,,11/17/2010,,deangelo williams,deangelo williams
2010,Dolphins,,cory procter,placed on ir with torn acl in left knee,,,,11/19/2010,,cory procter,cory procter
2010,Saints,,jason kyle,placed on ir with shoulder injury,,,,11/20/2010,,jason kyle,jason kyle
2010,Bengals,,jonathan fanene,placed on ir with hamstring injury,,,,11/21/2010,,jonathan fanene,jonathan fanene
2010,Bengals,,chris crocker,placed on ir with torn mcl in right knee,,,,11/22/2010,,chris crocker,chris crocker
2010,Bengals,,frostee rucker,placed on ir with knee injury,,,,11/22/2010,,frostee rucker,frostee rucker
2010,Lions,,kevin smith ryan,placed on ir with thumb injury,,,,11/22/2010,,kevin smith ryan,kevin smith ryan
2010,Redskins,,chad simpson,placed on ir with foot injury,,,,11/22/2010,,chad simpson,chad simpson
2010,Saints,,stanley arnoux,placed on ir with achilles tendon injury,,,,11/22/2010,,stanley arnoux,stanley arnoux
2010,Bengals,,terry johnson  tank johnson,placed on ir with right knee injury,,,,11/23/2010,,terry johnson tank johnson,terry johnson tank
2010,Browns,,blake costanzo,placed on ir with groin injury,,,,11/23/2010,,blake costanzo,blake costanzo
2010,Cardinals,,will davis,placed on ir with fractured left fibula,,,,11/23/2010,,will davis,will davis
2010,Colts,,chip vaughn,placed on ir with left foot/ankle injury,,,,11/23/2010,,chip vaughn,chip vaughn
2010,Eagles,,ellis hobbs,placed on ir with neck injury,,,,11/23/2010,,ellis hobbs,ellis hobbs
2010,Redskins,,anderson russell,placed on ir with torn acl,,,,11/23/2010,,anderson russell,anderson russell
2010,Titans,,vince young,placed on ir with right thumb injury,,,,11/23/2010,,vince young,vince young
2010,Giants,,madison hedgecock,placed on ir with hamstring injury,,,,11/24/2010,,madison hedgecock,madison hedgecock
2010,Raiders,,trevor scott,placed on ir with torn acl in left knee,,,,11/24/2010,,trevor scott,trevor scott
2010,Vikings,,anthony herrera,placed on ir with torn acl in left knee,,,,11/24/2010,,anthony herrera,anthony herrera
2010,Redskins,,clinton portis,placed on ir with groin injury,,,,11/25/2010,,clinton portis,clinton portis
2010,Seahawks,,anthony mccoy,placed on ir with knee injury,,,,11/26/2010,,anthony mccoy,anthony mccoy
2010,Bills,,keith ellison,placed on ir with knee injury,,,,11/27/2010,,keith ellison,keith ellison
2010,Bills,,shawne merriman,placed on ir with calf / achilles tendon injury,,,,11/27/2010,,shawne merriman,shawne merriman
2010,49ers,,dominique zeigler,placed on ir with knee injury,,,,11/30/2010,,dominique zeigler,dominique zeigler
2010,49ers,,frank gore sr,placed on ir with right hip injury,,,,11/30/2010,,frank gore sr,frank gore sr
2010,Buccaneers,,cody grimm,placed on ir with fibula injury,,,,11/30/2010,,cody grimm,cody grimm
2010,Buccaneers,,davin joseph,placed on ir with fractured foot,,,,11/30/2010,,davin joseph,davin joseph
2010,Buccaneers,,kyle moore b 1986-10-25,placed on ir with shoulder injury,,,,11/30/2010,,kyle moore b --,kyle moore
2010,Packers,,brandon chillar,placed on ir with shoulder injury,,,,11/30/2010,,brandon chillar,brandon chillar
2010,Packers,,spencer havner,placed on ir with hamstring injury,,,,11/30/2010,,spencer havner,spencer havner
2010,Colts,,cody glenn,placed on ir with neck injury,,,,12/1/2010,,cody glenn,cody glenn
2010,Texans,,torri williams,placed on ir with hamstring injury,,,,12/1/2010,,torri williams,torri williams
2010,Bengals,,antwan odom,placed on ir with wrist injury,,,,12/2/2010,,antwan odom,antwan odom
2010,Bills,,dwan edwards,placed on ir with hamstring injury,,,,12/2/2010,,dwan edwards,dwan edwards
2010,Bills,,reggie torbor,placed on ir with shoulder injury,,,,12/2/2010,,reggie torbor,reggie torbor
2010,Jaguars,,jacob cutrera,placed on ir with concussion,,,,12/2/2010,,jacob cutrera,jacob cutrera
2010,Lions,,jason hanson,placed on ir with right knee injury,,,,12/2/2010,,jason hanson,jason hanson
2010,Patriots,,stephen neal,placed on ir with shoulder injury,,,,12/2/2010,,stephen neal,stephen neal
2010,Raiders,,bruce gradkowski,placed on ir with right shoulder injury,,,,12/2/2010,,bruce gradkowski,bruce gradkowski
2010,Cowboys,,sean lissemore,placed on ir with ankle injury,,,,12/3/2010,,sean lissemore,sean lissemore
