Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2023,Texans,,cameron johnston,placed on ir with calf injury,,,,8/31/2023,
2023,Texans,,juice scruggs,placed on ir with hamstring injury,,,,8/31/2023,
2023,Titans,,kyle philips,placed on ir with mcl injury in knee,,,,8/31/2023,
2023,Vikings,,kene nwangwu,placed on ir with leg injury,,,,8/31/2023,
2023,Rams,,ochaun mathis,placed on ir with knee injury,,,,9/1/2023,
2023,Panthers,,marquis haynes,placed on ir with back injury,,,,9/4/2023,
2023,Patriots,,riley reiff,placed on ir with knee injury,,,,9/4/2023,
2023,Seahawks,,dareke young,placed on ir with abductor injury in hip,,,,9/4/2023,
2023,Rams,,shaun jolly,placed on ir with undisclosed injury,,,,9/6/2023,
2023,Texans,,tytus howard,placed on ir with surgery on hand to repair fracture,,,,9/6/2023,
2023,Commanders,,dax milne,placed on ir with groin injury,,,,9/8/2023,
2023,Raiders,,brandon facyson,placed on ir with shin injury,,,,9/8/2023,
2023,Patriots,,jack jones b 1997-12-20,placed on ir with hamstring injury,,,,9/9/2023,
2023,Rams,,cooper kupp,placed on ir with hamstring injury,,,,9/9/2023,
2023,Rams,,hunter long,placed on ir with thigh injury,,,,9/9/2023,
2023,Saints,,tre'quan smith,placed on ir with groin injury,,,,9/9/2023,
2023,Seahawks,,kenny mcintosh,placed on ir with sprained knee,,,,9/9/2023,
2023,Browns,,jack conklin,"placed on ir with torn acl, mcl in left knee",,,,9/12/2023,
2023,Eagles,,nakobe dean,placed on ir with right foot injury,,,,9/12/2023,
2023,Jets,,aaron rodgers,placed on ir with torn left achilles tendon,,,,9/12/2023,
2023,Ravens,,jk dobbins,placed on ir with torn left achilles tendon,,,,9/12/2023,
2023,Broncos,,caden sterns,placed on ir with knee injury,,,,9/13/2023,
2023,Colts,,evan hull,placed on ir with knee injury,,,,9/13/2023,
2023,Panthers,,brady christensen,placed on ir with biceps injury,,,,9/13/2023,
2023,Saints,,payton turner,placed on ir with surgery on toe,,,,9/13/2023,
2023,Seahawks,,abraham lucas,placed on ir with knee injury,,,,9/13/2023,
2023,Texans,,hassan ridgeway,placed on ir with calf injury,,,,9/13/2023,
2023,Texans,,noah brown,placed on ir with groin injury,,,,9/13/2023,
2023,Bears,,kyler gordon,placed on ir with hand injury,,,,9/14/2023,
2023,Steelers,,cameron heyward  cam heyward,placed on ir with surgery on groin,,,,9/14/2023,
2023,Panthers,,jaycee horn,placed on ir with hamstring injury,,,,9/15/2023,
2023,Rams,,jason taylor ii,placed on ir with groin injury,,,,9/15/2023,
2023,49ers,,samuel womack,placed on ir with mcl injury in knee,,,,9/16/2023,
2023,Broncos,,greg dulcich,placed on ir with hamstring injury,,,,9/16/2023,
2023,Cardinals,,lj collier,placed on ir with biceps injury,,,,9/16/2023,
2023,Jaguars,,gregory junior,placed on ir with hamstring injury,,,,9/16/2023,
2023,Lions,,joshua paschal  josh paschal,placed on ir with knee injury,,,,9/16/2023,
2023,Lions,,khalil dorsey,placed on ir with illness,,,,9/16/2023,
2023,Cardinals,,budda baker,placed on ir with hamstring injury,,,,9/18/2023,
2023,Steelers,,anthony mcfarland jr,placed on ir with knee injury,,,,9/18/2023,
2023,Steelers,,diontae johnson,placed on ir with hamstring injury,,,,9/18/2023,
2023,Lions,,chauncey gardner-johnson  cj gardner-johnson,placed on ir with pectoral muscle injury,,,,9/19/2023,
2023,Lions,,james houston,placed on ir with fractured ankle,,,,9/19/2023,
2023,Panthers,,shaq thompson,placed on ir with fractured fibula in right leg,,,,9/19/2023,
2023,Ravens,,ar'darius washington,placed on ir with chest injury,,,,9/19/2023,
2023,Vikings,,olisaemeka udoh  oli udoh,placed on ir with torn quadriceps tendon,,,,9/19/2023,
2023,Bears,,braxton jones,placed on ir with neck injury,,,,9/20/2023,
2023,Browns,,nick chubb,placed on ir with left knee injury,,,,9/20/2023,
2023,Buccaneers,,chase edmonds,placed on ir with sprained mcl in knee,,,,9/20/2023,
2023,Eagles,,avonte maddox,placed on ir with torn pectoral muscle,,,,9/20/2023,
2023,Seahawks,,mike morris jr,placed on ir with shoulder injury,,,,9/20/2023,
2023,Vikings,,jalen nailor,placed on ir with hamstring injury,,,,9/21/2023,
2023,Patriots,,marcus jones jr,placed on ir with torn labrum in shoulder,,,,9/22/2023,
2023,Titans,,kearis jackson,placed on ir with ankle injury,,,,9/22/2023,
2023,Titans,,hassan haskins,placed on ir with undisclosed injury,,,,9/22/2023,
2023,Bears,,khalid kareem,placed on ir with hip injury,,,,9/23/2023,
2023,Cardinals,,carlos watkins,placed on ir with biceps injury,,,,9/23/2023,
2023,Chiefs,,richie james,placed on ir with knee injury,,,,9/23/2023,
2023,Cowboys,,trevon diggs,placed on ir with torn acl in left knee,,,,9/23/2023,
2023,Jets,,duane brown,"placed on ir with various injuries / shoulder, hip injuries",,,,9/23/2023,
2023,Saints,,jamaal williams,placed on ir with hamstring injury,,,,9/23/2023,
2023,Texans,,derek stingley jr,placed on ir with hamstring injury,,,,9/23/2023,
2023,Ravens,,tylan wallace,placed on ir with hamstring injury,,,,9/25/2023,
2023,Jaguars,,leonard taylor,placed on ir with undisclosed injury,,,,9/25/2023,
2023,Chargers,,mike williams k,placed on ir with torn acl in left knee,,,,9/26/2023,
2023,Falcons,,troy andersen,placed on ir with shoulder injury / pectoral injury,,,,9/26/2023,
2023,Patriots,,daniel ekuale,placed on ir with torn biceps,,,,9/26/2023,
2023,Titans,,julius chestnut,placed on ir with hamstring injury,,,,9/26/2023,
2023,Titans,,mike brown b 1999-04-07,placed on ir with undisclosed injury,,,,9/26/2023,
2023,Chiefs,,prince tega wanogho  prince wanogho,placed on ir with torn quadriceps,,,,9/27/2023,
2023,Lions,,matt nelson,placed on ir with ankle injury,,,,9/28/2023,
2023,Packers,,david bakhtiari,placed on ir with left knee injury,,,,9/28/2023,
2023,Bears,,josh blackwell,placed on ir with hamstring injury,,,,9/29/2023,
2023,Bengals,,charlie jones b 1998-10-29,placed on ir with thumb injury,,,,9/29/2023,
2023,Dolphins,,river cracraft,placed on ir with shoulder injury,,,,9/29/2023,
2023,Raiders,,curtis bolton,placed on ir with knee injury,,,,9/30/2023,
2023,Ravens,,david ojabo,"placed on ir with ankle, knee injuries / various injuries",,,,9/30/2023,
2023,Colts,,dallis flowers,placed on ir with torn achilles tendon,,,,10/4/2023,
2023,Falcons,,josh ali,placed on ir with ankle injury,,,,10/4/2023,
2023,Texans,,kendrick green,placed on ir with torn meniscus in right knee,,,,10/4/2023,
2023,Dolphins,,terron armstead,placed on ir with knee injury,,,,10/6/2023,
2023,Bills,,tre'davious white,placed on ir with torn right achilles tendon,,,,10/7/2023,
2023,Eagles,,cam jurgens,placed on ir with foot injury,,,,10/7/2023,
2023,Jaguars,,parker washington,placed on ir with knee injury,,,,10/7/2023,
2023,Lions,,jason cabinda,placed on ir with knee injury,,,,10/7/2023,
2023,Patriots,,christian gonzalez,placed on ir recovering from surgery on right shoulder to repair labrum,,,,10/7/2023,
2023,Ravens,,daryl worley,placed on ir with shoulder injury,,,,10/7/2023,
2023,Cardinals,,james conner,placed on ir with knee injury,,,,10/10/2023,
2023,Commanders,,darrick forrest,placed on ir with fractured shoulder,,,,10/10/2023,
2023,Commanders,,jeremy reaves,placed on ir with partially torn acl in knee,,,,10/10/2023,
2023,Rams,,bobby brown iii,placed on ir with sprained mcl in knee,,,,10/10/2023,
2023,Bills,,daquan jones,placed on ir with torn pectoral muscle,,,,10/11/2023,
2023,Bills,,matt milano,"placed on ir with fractured right leg, knee",,,,10/11/2023,
2023,Colts,,anthony richardson,placed on ir with sprained ac joint in right shoulder,,,,10/11/2023,
2023,Dolphins,,de'von achane,placed on ir with knee injury,,,,10/11/2023,
2023,Jets,,alijah vera-tucker,placed on ir with torn achilles tendon,,,,10/11/2023,
2023,Vikings,,justin jefferson,placed on ir with right hamstring injury,,,,10/11/2023,
2023,Vikings,,nick mullens,placed on ir with back injury,,,,10/11/2023,
2023,Cowboys,,peyton hendershot,placed on ir with ankle injury,,,,10/12/2023,
2023,Bears,,equanimeous st brown,placed on ir with hamstring injury,,,,10/13/2023,
2023,Bears,,khalil herbert,placed on ir with ankle injury,,,,10/13/2023,
2023,Eagles,,justin evans b 1995-08-26,placed on ir with knee injury,,,,10/13/2023,
2023,Eagles,,quez watkins,placed on ir with hamstring injury,,,,10/14/2023,
2023,Giants,,azeez ojulari,placed on ir with ankle injury,,,,10/14/2023,
2023,Jaguars,,christian braswell,placed on ir with hamstring injury (out for season),,,,10/14/2023,
2023,Jets,,justin hardee,placed on ir recovering from surgery on hamstring,,,,10/14/2023,
2023,Lions,,emmanuel moseley,placed on ir with torn acl in right knee,,,,10/14/2023,
2023,Lions,,zonovan knight  bam knight,placed on ir with shoulder injury,,,,10/14/2023,
2023,Panthers,,ian thomas c,placed on ir with calf injury,,,,10/14/2023,
2023,Patriots,,matthew judon  matt judon,placed on ir with biceps/elbow injury,,,,10/14/2023,
2023,Patriots,,tyrone wheatley jr,placed on ir with knee injury,,,,10/14/2023,
2023,Saints,,adam prentice,placed on ir with knee injury,,,,10/14/2023,
2023,Seahawks,,coby bryant,placed on ir with toe injury,,,,10/14/2023,
2023,Cowboys,,cj goodwin,placed on ir with torn pectoral muscle,,,,10/16/2023,
2023,Cowboys,,leighton vander esch,"placed on ir with concussion, neck injury",,,,10/16/2023,
2023,Browns,,michael dunn,placed on ir with calf injury,,,,10/17/2023,
2023,Giants,,joshua ezeudu,placed on ir with right toe injury,,,,10/17/2023,
2023,Chargers,,raheem layne,placed on ir with torn acl in knee,,,,10/18/2023,
2023,Raiders,,roderic teamer,placed on ir with hamstring injury,,,,10/18/2023,
2023,Rams,,ronnie rivers,placed on ir with sprained pcl in knee,,,,10/18/2023,
2023,Texans,,eric murray,placed on ir with knee injury,,,,10/18/2023,
2023,Vikings,,marcus davenport,placed on ir with sprained left ankle,,,,10/18/2023,
2023,Giants,,shane lemieux,placed on ir with torn biceps,,,,10/19/2023,
2023,Bills,,damien harris,"placed on ir with concussion, neck injury",,,,10/20/2023,
2023,Dolphins,,christopher brooks  chris brooks b,placed on ir with ankle injury,,,,10/20/2023,
2023,Broncos,,greg dulcich,placed on ir with hamstring injury,,,,10/21/2023,
2023,Patriots,,riley reiff,placed on ir with knee injury,,,,10/21/2023,
2023,Rams,,kyren williams,placed on ir with ankle injury,,,,10/21/2023,
2023,Steelers,,pat freiermuth,placed on ir with hamstring injury,,,,10/21/2023,
2023,Cardinals,,zach ertz,placed on ir with strained quadriceps,,,,10/24/2023,
2023,Dolphins,,isaiah wynn,placed on ir with quadriceps injury,,,,10/24/2023,
2023,Giants,,eric gray,placed on ir with calf injury,,,,10/24/2023,
2023,Giants,,matt peart,placed on ir with shoulder injury,,,,10/24/2023,
2023,Panthers,,giovanni ricci,placed on ir with shoulder injury,,,,10/24/2023,
2023,Panthers,,jeremy chinn,placed on ir with quadriceps injury,,,,10/24/2023,
2023,Panthers,,yetur gross-matos,placed on ir with hamstring injury,,,,10/24/2023,
2023,Packers,,darnell savage,placed on ir with calf injury,,,,10/25/2023,
2023,Packers,,eric stokes jamane,placed on ir with hamstring injury,,,,10/25/2023,
2023,Titans,,taylor stallworth,placed on ir with undisclosed,,,,10/25/2023,
2023,Bills,,dawson knox,placed on ir recovering from surgery on wrist,,,,10/26/2023,
2023,Seahawks,,uchenna nwosu,placed on ir recovering from surgery to repair pectoral injury,,,,10/26/2023,
2023,Bengals,,chase brown b 2000-03-21,placed on ir with hamstring injury,,,,10/28/2023,
2023,Broncos,,brandon johnson b 1998-07-26,placed on ir with hamstring injury,,,,10/28/2023,
2023,Cardinals,,elijah wilkinson,placed on ir with neck injury,,,,10/28/2023,
2023,Chiefs,,nick bolton,placed on ir recovering from surgery on wrist,,,,10/28/2023,
2023,Commanders,,cody barton,placed on ir with ankle injury,,,,10/28/2023,
2023,Commanders,,saahdiq charles,placed on ir with calf injury,,,,10/28/2023,
2023,Giants,,gary brightwell,placed on ir with hamstring injury,,,,10/28/2023,
2023,Raiders,,kana'i mauga,placed on ir with knee injury,,,,10/30/2023,
2023,Falcons,,grady jarrett,placed on ir with torn acl in knee,,,,10/31/2023,
2023,Jets,,al woods joseph,placed on ir with torn achilles tendon,,,,10/31/2023,
2023,Jets,,connor mcgovern b 1993-04-27,placed on ir with dislocated kneecap,,,,10/31/2023,
2023,Jets,,wes schweitzer,placed on ir with calf injury,,,,10/31/2023,
2023,Lions,,scott daly,placed on ir with surgery on knee,,,,10/31/2023,
2023,Patriots,,kendrick bourne,placed on ir with torn acl in right knee,,,,10/31/2023,
2023,Texans,,jarrett patterson,placed on ir with ankle / lower leg injury,,,,10/31/2023,
2023,Texans,,teagan quitoriano,placed on ir with groin injury,,,,10/31/2023,
2023,Vikings,,kirk cousins,placed on ir with torn right achilles tendon,,,,10/31/2023,
2023,Falcons,,lacale london,placed on ir with knee injury,,,,11/1/2023,
2023,Bills,,kaiir elam,placed on ir with ankle injury,,,,11/2/2023,
2023,Bengals,,tycen anderson,placed on ir with left knee injury,,,,11/3/2023,
2023,Giants,,graham gano,placed on ir with surgery on left knee,,,,11/3/2023,
2023,Panthers,,claudin cherelus,placed on ir with knee injury,,,,11/3/2023,
2023,Patriots,,calvin anderson,placed on ir with illness,,,,11/3/2023,
2023,Giants,,darren waller,placed on ir with hamstring injury,,,,11/4/2023,
2023,Giants,,tyrod taylor,placed on ir with rib injury,,,,11/4/2023,
2023,Panthers,,justin houston,placed on ir with hamstring injury,,,,11/4/2023,
2023,Chargers,,joshua palmer  josh palmer,placed on ir with knee injury,,,,11/6/2023,
2023,Seahawks,,drake thomas,placed on ir with knee injury,,,,11/6/2023,
2023,Steelers,,cole holcomb,placed on ir with surgery on knee (out for season),,,,11/6/2023,
2023,Browns,,cameron mitchell,placed on ir with hamstring / shoulder injury,,,,11/7/2023,
2023,Browns,,jedrick wills jr,placed on ir with sprained mcl in knee,,,,11/7/2023,
2023,Cardinals,,bobby price,placed on ir with undisclosed,,,,11/7/2023,
2023,Commanders,,ricky stromberg,placed on ir with knee injury,,,,11/7/2023,
2023,Panthers,,chandler wooten,placed on ir with ankle injury,,,,11/7/2023,
2023,Panthers,,luiji vilain,placed on ir with knee injury,,,,11/7/2023,
2023,Texans,,hassan ridgeway,placed on ir with torn right achilles tendon (out for season),,,,11/7/2023,
2023,Texans,,mj stewart,placed on ir with shoulder injury,,,,11/7/2023,
2023,Giants,,daniel jones,placed on ir with torn acl in right knee,,,,11/8/2023,
2023,Vikings,,cam akers,placed on ir with torn left achilles tendon,,,,11/8/2023,
2023,49ers,,drake jackson,placed on ir with knee injury,,,,11/11/2023,
2023,Texans,,ka'imi fairbairn,placed on ir with quadriceps injury,,,,11/11/2023,
2023,Titans,,nicholas petit-frere,placed on ir with shoulder injury,,,,11/11/2023,
2023,Lions,,halapoulivaati vaitai,placed on ir with back injury,,,,11/14/2023,
2023,Steelers,,kwon alexander,placed on ir with torn left achilles tendon (out for season),,,,11/14/2023,
2023,Vikings,,jordan hicks b 1992-06-27,placed on ir with bruised shin,,,,11/14/2023,
2023,49ers,,nick zakelj,placed on ir with torn biceps,,,,11/15/2023,
2023,Browns,,deshaun watson,placed on ir with fracture in right shoulder,,,,11/15/2023,
2023,Chargers,,chris rumph ii,placed on ir with fractured foot,,,,11/15/2023,
2023,Titans,,chance campbell,placed on ir with undisclosed injury,,,,11/15/2023,
2023,Eagles,,nakobe dean,placed on ir with lisfranc injury in foot (surgery),,,,11/16/2023,
2023,Cowboys,,viliami fehoko jr,placed on ir with knee injury,,,,11/18/2023,
2023,Jaguars,,jamal agnew,"placed on ir with shoulder, ribs injuries / various injuries",,,,11/18/2023,
2023,Steelers,,keanu neal,placed on ir with rib injury,,,,11/18/2023,
2023,Texans,,grayland arnold,placed on ir with calf injury,,,,11/18/2023,
2023,Commanders,,efe obada,placed on ir with fractured right leg,,,,11/20/2023,
2023,Steelers,,elijah riley,placed on ir with ankle injury,,,,11/20/2023,
2023,Vikings,,dean lowry,placed on ir with torn pectoral muscle,,,,11/20/2023,
2023,49ers,,talanoa hufanga,placed on ir with torn acl in right knee,,,,11/21/2023,
2023,Browns,,rodney mcleod jr,placed on ir with torn biceps,,,,11/21/2023,
2023,Cardinals,,kyzir white,placed on ir with torn biceps,,,,11/21/2023,
2023,Cardinals,,leki fotu,placed on ir with hand injury,,,,11/21/2023,
2023,Chargers,,tanner muse,placed on ir with knee injury,,,,11/21/2023,
2023,Dolphins,,salvon ahmed,placed on ir with foot injury,,,,11/21/2023,
2023,Saints,,michael thomas william,placed on ir with knee injury,,,,11/21/2023,
2023,Buccaneers,,rakim jarrett,placed on ir with undisclosed,,,,11/22/2023,
2023,Chargers,,joey bosa,placed on ir with sprained foot,,,,11/22/2023,
2023,Commanders,,de'jon harris,placed on ir with quadriceps injury,,,,11/22/2023,
2023,Packers,,emanuel wilson,placed on ir with shoulder injury,,,,11/22/2023,
2023,Packers,,luke musgrave,placed on ir with lacerated kidney,,,,11/22/2023,
2023,Panthers,,austin corbett,placed on ir with knee injury,,,,11/22/2023,
2023,Panthers,,dicaprio bootle,placed on ir with knee injury,,,,11/22/2023,
2023,Seahawks,,jerrick reed ii,placed on ir with torn acl in knee,,,,11/23/2023,
2023,Bengals,,joe burrow,placed on ir with right wrist injury (surgery),,,,11/25/2023,
2023,Chiefs,,mecole hardman,placed on ir with thumb injury,,,,11/25/2023,
2023,Ravens,,mark andrews,placed on ir recovering from surgery on left ankle,,,,11/25/2023,
2023,Saints,,marshon lattimore,placed on ir with ankle injury,,,,11/25/2023,
2023,Titans,,chris hubbard,placed on ir with biceps injury,,,,11/25/2023,
2023,49ers,,george odum,placed on ir with torn biceps,,,,11/27/2023,
2023,Jaguars,,cam robinson,placed on ir with left knee injury,,,,11/27/2023,
2023,Dolphins,,jaelan phillips,placed on ir with torn right achilles tendon (out for season),,,,11/28/2023,
2023,Rams,,duke shelley,placed on ir with hamstring injury,,,,11/28/2023,
2023,Panthers,,chandler zavala,placed on ir with knee injury,,,,11/29/2023,
