Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2010,Steelers,,willie colon,placed on ir,,,,9/4/2010,
2010,Texans,,andre' davis  andre davis a,placed on ir with hip/tailbone injury,,,,9/4/2010,
2010,Texans,,darnell bing,placed on ir,,,,9/4/2010,
2010,Texans,,justin griffith,placed on ir,,,,9/4/2010,
2010,Texans,,kris brown,placed on ir with foot injury,,,,9/4/2010,
2010,Texans,,tim bulman,placed on ir,,,,9/4/2010,
2010,Texans,,trey stross,placed on ir,,,,9/4/2010,
2010,Titans,,dominique lindsay,placed on ir,,,,9/4/2010,
2010,Titans,,kareem brown,placed on ir,,,,9/4/2010,
2010,Titans,,marcus howard,placed on ir,,,,9/4/2010,
2010,Titans,,mike rivera,placed on ir,,,,9/4/2010,
2010,Titans,,roderick hood  rod hood,placed on ir,,,,9/4/2010,
2010,Titans,,stafon johnson,placed on ir,,,,9/4/2010,
2010,Vikings,,jaymar johnson,placed on ir with fractured left thumb,,,,9/4/2010,
2010,Vikings,,jeremy leman  j leman,placed on ir,,,,9/4/2010,
2010,Panthers,,aaron francisco,placed on ir with hamstring injury,,,,9/4/2010,
2010,Cardinals,,dean muhtadi,placed on ir,,,,9/4/2010,
2010,Bengals,,cordera eason,placed on ir,,,,9/4/2010,
2010,Bears,,woodny turenne,placed on ir,,,,9/5/2010,
2010,Bengals,,taufui vakapuna  fui vakapuna,placed on ir with shoulder injury,,,,9/5/2010,
2010,Bills,,derek schouman,placed on ir with knee injury,,,,9/5/2010,
2010,Buccaneers,,jonathan compas,placed on ir with undisclosed injury,,,,9/5/2010,
2010,Cardinals,,alfonso smith,placed on ir,,,,9/5/2010,
2010,Cardinals,,chris johnson c,placed on ir,,,,9/5/2010,
2010,Cardinals,,mark washington b 1985-08-20,placed on ir,,,,9/5/2010,
2010,Chargers,,richie brockel,placed on ir,,,,9/5/2010,
2010,Colts,,glenn sharpe,placed on ir,,,,9/5/2010,
2010,Colts,,james williams g,placed on ir,,,,9/5/2010,
2010,Colts,,taj smith,placed on ir,,,,9/5/2010,
2010,Dolphins,,will allen d,placed on ir with left knee injury,,,,9/5/2010,
2010,Falcons,,brandyn harvey,placed on ir,,,,9/5/2010,
2010,Giants,,alex hall,placed on ir with shoulder injury,,,,9/5/2010,
2010,Giants,,courtney brown leonard,placed on ir with ankle injury,,,,9/5/2010,
2010,Lions,,korey bosworth,placed on ir,,,,9/5/2010,
2010,Packers,,allen barbre,placed on ir with back injury,,,,9/5/2010,
2010,Panthers,,jamie petrowski,placed on ir,,,,9/5/2010,
2010,Patriots,,george bussey,placed on ir,,,,9/5/2010,
2010,Raiders,,alex daniels,placed on ir with undisclosed injury,,,,9/5/2010,
2010,Raiders,,jay richardson,placed on ir with knee injury,,,,9/5/2010,
2010,Raiders,,joey thomas,placed on ir with concussion,,,,9/5/2010,
2010,Redskins,,clint oldenburg,placed on ir,,,,9/5/2010,
2010,Redskins,,robert henson,placed on ir,,,,9/5/2010,
2010,Steelers,,renauld williams,placed on ir,,,,9/5/2010,
2010,Texans,,derek fine,placed on ir,,,,9/5/2010,
2010,Texans,,jeremiah johnson,placed on ir,,,,9/5/2010,
2010,Colts,,tony ugoh,placed on ir with toe injury,,,,9/9/2010,
2010,Jets,,kevin o'connell,placed on ir,,,,9/9/2010,
2010,Bills,,kawika mitchell,placed on ir with foot injury,,,,9/10/2010,
2010,Jaguars,,jarett dillard,placed on ir with left foot/toe injury,,,,9/11/2010,
2010,Bears,,hunter hillenmeyer,placed on ir with concussion,,,,9/14/2010,
2010,Eagles,,jamaal jackson,placed on ir with torn triceps in right arm (out for season),,,,9/14/2010,
2010,Eagles,,leonard weaver,placed on ir with torn acl in left knee (out for season),,,,9/14/2010,
2010,Lions,,aaron berry,placed on ir with right shoulder injury,,,,9/14/2010,
2010,Packers,,justin harrell,placed on ir with torn acl in left knee,,,,9/14/2010,
2010,Packers,,ryan grant brett,placed on ir with ankle injury,,,,9/14/2010,
2010,Seahawks,,max unger,placed on ir with left toe injury,,,,9/14/2010,
2010,Texans,,connor barwin,placed on ir with right ankle injury,,,,9/14/2010,
2010,Chargers,,david binn,placed on ir with hamstring injury,,,,9/15/2010,
2010,Chiefs,,cameron sheffield,placed on ir with neck injury,,,,9/15/2010,
2010,Jets,,kris jenkins,placed on ir with torn acl in left knee,,,,9/15/2010,
2010,Panthers,,todd carter,placed on ir,,,,9/15/2010,
2010,Rams,,josh hull,placed on ir with torn acl in left knee,,,,9/15/2010,
2010,Chargers,,james dearth,placed on ir with foot injury,,,,9/17/2010,
2010,Panthers,,charly martin,placed on ir with concussion,,,,9/17/2010,
2010,Browns,,kaluka maiava,placed on ir with right leg injury,,,,9/21/2010,
2010,Falcons,,jerious norwood,placed on ir with knee injury,,,,9/21/2010,
