player_season_name,season,ir_name,fuzzy_score
michael pittman,2024,michael pittman jr,90.90909091
laviska shenault,2020,laviska shenault jr,91.42857143
laviska shenault,2021,laviska shenault jr,91.42857143
terrace marshall,2022,terrace marshall jr,91.42857143
chris conley,2018,chris cooley,91.66666667
will fuller,2018,will fuller v,91.66666667
will fuller,2019,will fuller v,91.66666667
chris conley,2019,chris cooley,91.66666667
chris conley,2020,chris cooley,91.66666667
will fuller,2020,will fuller v,91.66666667
nico collins,2021,nick collins,91.66666667
nico collins,2022,nick collins,91.66666667
nico collins,2023,nick collins,91.66666667
nico collins,2024,nick collins,91.66666667
t.j. hockenson,2019,tj hockenson,92.30769231
t.j. hockenson,2020,tj hockenson,92.30769231
t.j. hockenson,2021,tj hockenson,92.30769231
t.j. hockenson,2022,tj hockenson,92.30769231
t.j. hockenson,2023,tj hockenson,92.30769231
t.j. hockenson,2024,tj hockenson,92.30769231
keon coleman,2024,kenyon coleman,92.30769231
mike williams,2018,mike williams k,92.85714286
mike williams,2019,mike williams k,92.85714286
mike williams,2020,mike williams k,92.85714286
tyler johnson,2021,tyler johnstone,92.85714286
mike williams,2021,mike williams k,92.85714286
mike williams,2022,mike williams k,92.85714286
diontae johnson,2019,dyontae johnson,93.33333333
diontae johnson,2020,dyontae johnson,93.33333333
diontae johnson,2021,dyontae johnson,93.33333333
diontae johnson,2022,dyontae johnson,93.33333333
diontae johnson,2023,dyontae johnson,93.33333333
jameson williams,2024,jason williams,93.33333333
cedric tillman,2024,cedric tillman b,93.33333333
diontae johnson,2024,dyontae johnson,93.33333333
deandre hopkins,2018,deandre thompkins,93.75
deandre hopkins,2019,deandre thompkins,93.75
deandre hopkins,2020,deandre thompkins,93.75
deandre hopkins,2021,deandre thompkins,93.75
deandre hopkins,2022,deandre thompkins,93.75
deandre hopkins,2023,deandre thompkins,93.75
deandre hopkins,2024,deandre thompkins,93.75
n'keal harry,2020,nkeal harry,95.65217391
scott miller,2020,scotty miller,96
tre'quan smith,2018,trequan smith,96.2962963
tre'quan smith,2020,trequan smith,96.2962963
tre'quan smith,2021,trequan smith,96.2962963
diontae johnson,2019,dontae johnson,96.55172414
diontae johnson,2020,dontae johnson,96.55172414
diontae johnson,2021,dontae johnson,96.55172414
diontae johnson,2022,dontae johnson,96.55172414
diontae johnson,2023,dontae johnson,96.55172414
diontae johnson,2024,dontae johnson,96.55172414
brian thomas jr.,2024,brian thomas jr,96.77419355
wan'dale robinson,2023,wandale robinson,96.96969697
odell beckham jr.,2023,odell beckham jr,96.96969697
wan'dale robinson,2024,wandale robinson,96.96969697
josh reynolds,2018,josh reynolds,100
desean jackson,2018,desean jackson,100
taywan taylor,2018,taywan taylor,100
curtis samuel,2018,curtis samuel,100
cooper kupp,2018,cooper kupp,100
jordan reed,2018,jordan reed,100
tyler lockett,2018,tyler lockett,100
maurice harris,2018,maurice harris,100
quincy enunwa,2018,quincy enunwa,100
adam humphries,2018,adam humphries,100
chris conley,2018,chris conley,100
kendrick bourne,2018,kendrick bourne,100
jamison crowder,2018,jamison crowder,100
jermaine kearse,2018,jermaine kearse,100
calvin ridley,2018,calvin ridley,100
robert foster,2018,robert foster,100
marquez valdes-scantling,2018,marquez valdes-scantling,100
danny amendola,2018,danny amendola,100
jimmy graham,2018,jimmy graham,100
chris godwin,2018,chris godwin,100
chris hogan,2018,chris hogan,100
julian edelman,2018,julian edelman,100
tajae sharpe,2018,tajae sharpe,100
emmanuel sanders,2018,emmanuel sanders,100
dede westbrook,2018,dede westbrook,100
rob gronkowski,2018,rob gronkowski,100
evan engram,2018,evan engram,100
zach ertz,2018,zach ertz,100
demaryius thomas,2018,demaryius thomas,100
stefon diggs,2018,stefon diggs,100
sterling shepard,2018,sterling shepard,100
jordy nelson,2018,jordy nelson,100
marquise goodwin,2018,marquise goodwin,100
ryan switzer,2018,ryan switzer,100
adam thielen,2018,adam thielen,100
kyle rudolph,2018,kyle rudolph,100
trey burton,2018,trey burton,100
eric ebron,2018,eric ebron,100
chris herndon,2018,chris herndon,100
nick vannett,2018,nick vannett,100
mohamed sanu,2018,mohamed sanu,100
julio jones,2018,julio jones,100
chester rogers,2018,chester rogers,100
brandin cooks,2018,brandin cooks,100
jeff heuerman,2018,jeff heuerman,100
jarvis landry,2018,jarvis landry,100
cameron brate,2018,cameron brate,100
tyler boyd,2018,tyler boyd,100
travis kelce,2018,travis kelce,100
josh doctson,2018,josh doctson,100
jared cook,2018,jared cook,100
pierre garcon,2018,pierre garcon,100
tyrell williams,2018,tyrell williams,100
david njoku,2018,david njoku,100
vance mcdonald,2018,vance mcdonald,100
sammy watkins,2018,sammy watkins,100
kelvin benjamin,2018,kelvin benjamin,100
alshon jeffery,2018,alshon jeffery,100
george kittle,2018,george kittle,100
randall cobb,2018,randall cobb,100
dante pettis,2018,dante pettis,100
michael gallup,2018,michael gallup,100
juju smith-schuster,2018,juju smith-schuster,100
ricky seals-jones,2018,ricky seals-jones,100
keenan allen,2018,keenan allen,100
mark andrews,2018,mark andrews,100
dallas goedert,2018,dallas goedert,100
devante parker,2018,devante parker,100
devin funchess,2018,devin funchess,100
antonio callaway,2018,antonio callaway,100
deandre hopkins,2018,deandre hopkins,100
josh gordon,2018,josh gordon,100
