player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score,number
michael pittman,michael pittman,2023,michael pittman,2020,100.0,1
deebo samuel,deebo samuel,2023,deebo samuel,2020,100.0,1
tyler lockett,tyler lockett,2023,tyler lockett,2016,100.0,1
noah brown,noah brown,2023,noah brown,2018,100.0,2
noah brown,noah brown,2023,noah brown,2021,100.0,2
allen robinson,allen robinson,2023,allen robinson,2014,100.0,3
allen robinson,allen robinson,2023,allen robinson,2017,100.0,3
allen robinson,allen robinson,2023,allen robinson,2022,100.0,3
travis kelce,travis kelce,2023,travis kelce,2013,100.0,1
dallas goedert,dallas goedert,2023,dallas goedert,2020,100.0,2
dallas goedert,dallas goedert,2023,dallas goedert,2022,100.0,2
jonnu smith,jonnu smith,2023,jonnu smith,2018,100.0,1
aj brown,aj brown,2023,aj brown,2021,100.0,1
mike evans,mike evans,2023,mike evans,2019,100.0,1
logan thomas,logan thomas,2023,logan thomas,2021,100.0,1
courtland sutton,courtland sutton,2023,courtland sutton,2020,100.0,1
adam thielen,adam thielen,2023,adam thielen,2021,100.0,1
allen lazard,allen lazard,2023,allen lazard,2020,100.0,1
kyle pitts,kyle pitts,2023,kyle pitts,2022,100.0,1
darren waller,darren waller,2023,darren waller,2015,100.0,2
darren waller,darren waller,2023,darren waller,2022,100.0,2
tyler higbee,tyler higbee,2023,tyler higbee,2021,100.0,1
brandin cooks,brandin cooks,2023,brandin cooks,2014,100.0,1
evan engram,evan engram,2023,evan engram,2019,100.0,1
tyler boyd,tyler boyd,2023,tyler boyd,2018,100.0,1
michael gallup,michael gallup,2023,michael gallup,2021,100.0,1
christian kirk,christian kirk,2023,christian kirk,2018,100.0,1
marquise brown,marquise brown,2023,marquise brown,2022,100.0,1
hunter henry,hunter henry,2023,hunter henry,2017,100.0,1
tj hockenson,tj hockenson,2023,tj hockenson,2019,100.0,2
tj hockenson,tj hockenson,2023,tj hockenson,2021,100.0,2
darnell mooney,darnell mooney,2023,darnell mooney,2022,100.0,1
devante parker,devante parker,2023,devante parker,2021,100.0,1
nico collins,nico collins,2023,nico collins,2021,100.0,2
nico collins,nico collins,2023,nico collins,2022,100.0,2
deandre hopkins,deandre hopkins,2023,deandre hopkins,2021,100.0,1
dj chark,dj chark,2023,dj chark,2021,100.0,2
dj chark,dj chark,2023,dj chark,2022,100.0,2
calvin ridley,calvin ridley,2023,calvin ridley,2019,100.0,1
rashod bateman,rashod bateman,2023,rashod bateman,2021,100.0,2
rashod bateman,rashod bateman,2023,rashod bateman,2022,100.0,2
george kittle,george kittle,2023,george kittle,2020,100.0,2
george kittle,george kittle,2023,george kittle,2021,100.0,2
odell beckham,odell beckham,2023,odell beckham,2017,100.0,2
odell beckham,odell beckham,2023,odell beckham,2020,100.0,2
michael thomas,michael thomas,2023,michael thomas,2014,100.0,4
michael thomas,michael thomas,2023,michael thomas,2017,100.0,4
michael thomas,michael thomas,2023,michael thomas,2020,100.0,4
michael thomas,michael thomas,2023,michael thomas,2022,100.0,4
david njoku,david njoku,2023,david njoku,2019,100.0,2
david njoku,david njoku,2023,david njoku,2020,100.0,2
ray-ray mccloud,ray-ray mccloud,2024,ray-ray mccloud,2023,100.0,1
cooper kupp,cooper kupp,2024,cooper kupp,2018,100.0,3
cooper kupp,cooper kupp,2024,cooper kupp,2022,100.0,3
cooper kupp,cooper kupp,2024,cooper kupp,2023,100.0,3
olamide zaccheaus,olamide zaccheaus,2024,olamide zaccheaus,2020,100.0,1
sterling shepard,sterling shepard,2024,sterling shepard,2020,100.0,3
sterling shepard,sterling shepard,2024,sterling shepard,2021,100.0,3
sterling shepard,sterling shepard,2024,sterling shepard,2022,100.0,3
pat freiermuth,pat freiermuth,2024,pat freiermuth,2023,100.0,1
colby parkinson,colby parkinson,2024,colby parkinson,2021,100.0,1
curtis samuel,curtis samuel,2024,curtis samuel,2017,100.0,2
curtis samuel,curtis samuel,2024,curtis samuel,2021,100.0,2
evan engram,evan engram,2024,evan engram,2019,100.0,1
noah brown,noah brown,2024,noah brown,2018,100.0,3
noah brown,noah brown,2024,noah brown,2021,100.0,3
noah brown,noah brown,2024,noah brown,2023,100.0,3
michael pittman,michael pittman,2024,michael pittman,2020,100.0,1
christian kirk,christian kirk,2024,christian kirk,2018,100.0,2
christian kirk,christian kirk,2024,christian kirk,2023,100.0,2
mike evans,mike evans,2024,mike evans,2019,100.0,1
parker washington,parker washington,2024,parker washington,2023,100.0,1
jameson williams,jameson williams,2024,jameson williams,2022,100.0,1
keenan allen,keenan allen,2024,keenan allen,2015,100.0,2
keenan allen,keenan allen,2024,keenan allen,2016,100.0,2
darnell mooney,darnell mooney,2024,darnell mooney,2022,100.0,1
tyler boyd,tyler boyd,2024,tyler boyd,2018,100.0,1
calvin austin iii,calvin austin,2024,calvin austin,2022,100.0,1
adam thielen,adam thielen,2024,adam thielen,2021,100.0,1
tyler lockett,tyler lockett,2024,tyler lockett,2016,100.0,1
chris godwin,chris godwin,2024,chris godwin,2020,100.0,2
chris godwin,chris godwin,2024,chris godwin,2021,100.0,2
david njoku,david njoku,2024,david njoku,2019,100.0,2
david njoku,david njoku,2024,david njoku,2020,100.0,2
jonnu smith,jonnu smith,2024,jonnu smith,2018,100.0,1
zach ertz,zach ertz,2024,zach ertz,2020,100.0,3
zach ertz,zach ertz,2024,zach ertz,2022,100.0,3
zach ertz,zach ertz,2024,zach ertz,2023,100.0,3
brandin cooks,brandin cooks,2024,brandin cooks,2014,100.0,1
brian thomas jr.,brian thomas,2024,brian thomas,2013,100.0,1
elijah moore,elijah moore,2024,elijah moore,2021,100.0,1
tj hockenson,tj hockenson,2024,tj hockenson,2019,100.0,3
tj hockenson,tj hockenson,2024,tj hockenson,2021,100.0,3
tj hockenson,tj hockenson,2024,tj hockenson,2023,100.0,3
travis kelce,travis kelce,2024,travis kelce,2013,100.0,1
calvin ridley,calvin ridley,2024,calvin ridley,2019,100.0,1
rashod bateman,rashod bateman,2024,rashod bateman,2021,100.0,2
rashod bateman,rashod bateman,2024,rashod bateman,2022,100.0,2
will dissly,will dissly,2024,will dissly,2018,100.0,3
will dissly,will dissly,2024,will dissly,2019,100.0,3
will dissly,will dissly,2024,will dissly,2022,100.0,3
kyle pitts,kyle pitts,2024,kyle pitts,2022,100.0,1
courtland sutton,courtland sutton,2024,courtland sutton,2020,100.0,1
jerry jeudy,jerry jeudy,2024,jerry jeudy,2021,100.0,1
hunter henry,hunter henry,2024,hunter henry,2017,100.0,2
hunter henry,hunter henry,2024,hunter henry,2023,100.0,2
dallas goedert,dallas goedert,2024,dallas goedert,2020,100.0,2
dallas goedert,dallas goedert,2024,dallas goedert,2022,100.0,2
david moore,david moore,2024,david moore,2022,100.0,1
